lead_id,true_segment,agent_first_name,metro_tier,years_licensed,deals_last_12m,team_role,has_youtube,yt_subscribers,videos_last_90d,ig_posts_per_month,lead_source,deals_bucket,bio,true_p0,true_p1,true_call_uplift,true_reply_p_tmpl0,true_reply_p_tmpl1,true_reply_p_tmpl2
L61817000016,lost_cause_parttime,Emily,tier3,15,1,solo,False,0,0,2,cold_list,low,"Emily has been licensed for 15 years, working in a smaller market. Closed 1 deals in the last 12 months.",0.027903781963616894,0.08838468373536273,0.06048090177174584,0.06786528305473087,0.06799856953716013,0.030260086480847284
L61817000017,lost_cause_parttime,David,tier3,1,1,solo,False,0,0,2,cold_list,low,"Based in a smaller market, David has 1 years of experience. Closed 1 deals in the last 12 months. Sourced from a purchased contact list. Mentioned wanting to take things to the next level this year.",0.02088887334637697,0.038852583329390795,0.017963709983013824,0.11450668090564114,0.06198464597767052,0.08672289949719975
L61817000018,ambiguous_team_member,Linda,tier1,20,9,team_member,False,0,0,8,webinar,mid,"Linda has been licensed for 20 years, working in a major metro. Closed 9 deals in the last 12 months. Recently asked about getting started with video for listings.",0.03425753833728031,0.09694437504613329,0.06268683670885297,0.10513132488483327,0.09614486358857846,0.0939785624351702
L61817000019,persuadable_growth,Tom,tier2,10,9,team_member,False,0,0,17,cold_list,mid,"Tom has been licensed for 10 years, working in a mid-size metro. Mentioned wanting help building out a YouTube presence. Sourced from a purchased contact list.",0.025707359904087873,0.13973998490133666,0.11403262499724878,0.10541373463541648,0.09415337988612496,0.08100902346683637
L61817000020,sure_thing_inbound,Andre,tier2,10,6,solo,True,470,1,3,inbound_form,mid,Andre is a licensed agent in a mid-size metro with 10 years in the business. Closed 6 deals in the last 12 months.,0.37641742300438646,0.3723750718627768,-0.004042351141609668,0.12637456211756248,0.0978604340354633,0.06982531578666516
L61817000021,ambiguous_team_member,Wei,tier2,25,14,team_member,False,0,0,3,cold_list,mid,Wei is a licensed agent in a mid-size metro with 25 years in the business. Closed 14 deals in the last 12 months.,0.05141434675153552,0.12225615474570178,0.07084180799416626,0.09668150151571615,0.07793217247796148,0.07238081472992718
L61817000022,do_not_disturb_media_team,Tom,tier3,3,39,team_lead,True,5732,24,21,webinar,high,"Tom has been licensed for 3 years, working in a smaller market. Closed 39 deals in the last 12 months. Posts on Instagram regularly.",0.10589977093810737,0.13381252739761523,0.02791275645950786,0.05517214708845363,0.06972389983946735,0.14275371932192288
L61817000023,lost_cause_parttime,Fatima,tier3,3,1,solo,False,0,0,3,cold_list,low,Fatima is a licensed agent in a smaller market with 3 years in the business. Closed 1 deals in the last 12 months. Sourced from a purchased contact list.,0.014158436767443244,0.16841714957374887,0.15425871280630563,0.11935035267508541,0.07996023372946696,0.06536711557057358
L61817000024,hidden_gem_sparse_bio,Andre,tier2,20,12,solo,False,0,0,5,webinar,mid,Andre is a realtor in a mid-size metro.,0.036664259268186665,0.17352115540303858,0.1368568961348519,0.08036213212496363,0.10180162887605197,0.07014723795784865
L61817000025,sure_thing_inbound,Kevin,tier3,1,8,team_member,False,0,0,5,inbound_form,mid,"Based in a smaller market, Kevin has 1 years of experience. Closed 8 deals in the last 12 months. Has been thinking about trying short-form video content.",0.2966772652275562,0.2604710028421919,-0.03620626238536434,0.1398152715255311,0.09877671736226193,0.07933219001236771
L61817000026,ambiguous_team_member,David,tier3,9,15,team_member,False,0,0,8,cold_list,high,"Based in a smaller market, David has 9 years of experience. Sourced from a purchased contact list.",0.05698691685797747,0.13406760701339834,0.07708069015542088,0.10922324965317019,0.07742857920954443,0.0873053646705941
L61817000027,persuadable_growth,Yolanda,tier3,4,13,solo,False,0,0,14,webinar,mid,"Yolanda has been licensed for 4 years, working in a smaller market. Closed 13 deals in the last 12 months. Signed up after a webinar.",0.026993254344961314,0.1820198660194487,0.1550266116744874,0.13006617380218508,0.10133063755523088,0.06825370593282651
L61817000028,lost_cause_parttime,Linda,tier2,9,0,solo,False,0,0,0,cold_list,low,"Linda has been licensed for 9 years, working in a mid-size metro. Closed 0 deals in the last 12 months.",0.023247103041963462,0.03529020721145786,0.0120431041694944,0.09453695799034484,0.07318685926341142,0.11296160133438359
L61817000029,ambiguous_team_member,Brian,tier1,10,15,team_member,False,0,0,11,webinar,high,"Brian has been licensed for 10 years, working in a major metro. Closed 15 deals in the last 12 months. Posts on Instagram regularly.",0.045917306941878525,0.12902216017810617,0.08310485323622764,0.11673646333284801,0.10832768616036821,0.06271941722179168
L61817000030,persuadable_growth,Wei,tier2,24,13,team_member,False,0,0,17,cold_list,mid,Wei is a licensed agent in a mid-size metro with 24 years in the business. Closed 13 deals in the last 12 months. Sourced from a purchased contact list.,0.04304463975249462,0.14568844927513236,0.10264380952263774,0.08883187144935338,0.12542648070220838,0.06056258728223351
L61817000031,lost_cause_parttime,Brian,tier2,10,0,solo,False,0,0,1,cold_list,low,"Brian has been licensed for 10 years, working in a mid-size metro. Closed 0 deals in the last 12 months. Has been thinking about trying short-form video content. Added from an outreach list.",0.02319123757170013,0.054293109186036415,0.031101871614336283,0.09750494907749603,0.10798805253558322,0.07156633472086435
L61817000032,do_not_disturb_media_team,Carlos,tier3,21,17,team_lead,True,15922,21,12,webinar,high,"Carlos has been licensed for 21 years, working in a smaller market. Closed 17 deals in the last 12 months. The team already runs a YouTube channel with a dedicated media hire. Keeps up an active social media presence.",0.11251272770501937,0.03670398679452293,-0.07580874091049644,0.11227936602079219,0.07902185547851626,0.13721717533511177
L61817000033,do_not_disturb_media_team,Brian,tier1,12,31,team_lead,True,6693,24,10,cold_list,high,Brian is a licensed agent in a major metro with 12 years in the business. Closed 31 deals in the last 12 months. Posts on Instagram regularly. Sourced from a purchased contact list.,0.10609981968774485,0.05527528499923094,-0.0508245346885139,0.12146212996028125,0.08811974763320307,0.1718645184160534
L61817000034,lost_cause_parttime,Robert,tier2,11,0,solo,False,0,0,1,cold_list,low,"Based in a mid-size metro, Robert has 11 years of experience.",0.012816288961659978,0.07003428202409119,0.057217993062431215,0.07160505551533443,0.07441248124109966,0.07388469170007639
L61817000035,persuadable_growth,Robert,tier3,21,12,team_member,False,0,0,8,cold_list,mid,"Robert has been licensed for 21 years, working in a smaller market. Closed 12 deals in the last 12 months.",0.021029438986590484,0.12854336134073358,0.10751392235414309,0.0668622271074992,0.13306023447951543,0.05278879735235121
L61817000036,ambiguous_team_member,Linda,tier3,22,16,team_member,False,0,0,10,webinar,high,Linda is a licensed agent in a smaller market with 22 years in the business. Closed 16 deals in the last 12 months. Shares listings and updates on social media often. Attended one of our marketing webinars.,0.04740018606259761,0.10903212967221954,0.061631943609621924,0.04997028869756313,0.11874405721757621,0.08859774489459964
L61817000037,sure_thing_inbound,Wei,tier2,22,14,team_member,True,12,1,8,inbound_form,mid,Realtor based in a mid-size metro.,0.3294814972909806,0.3241074249099195,-0.005374072381061079,0.12417332885737462,0.09211713569306604,0.08167974323217109
L61817000038,hidden_gem_sparse_bio,Sofia,tier2,5,8,team_member,False,0,0,11,webinar,mid,Sofia is a realtor in a mid-size metro.,0.013670403971539357,0.20754996080651134,0.193879556834972,0.0883022958676856,0.08305743198129839,0.08068255457380095
L61817000039,ambiguous_team_member,Chen,tier2,4,8,team_member,False,0,0,10,cold_list,mid,Chen is a licensed agent in a mid-size metro with 4 years in the business. Has some in-house support for producing video content. Added from an outreach list.,0.06042478245258772,0.1666041790053967,0.10617939655280897,0.108137183275448,0.03478570755643528,0.1032469265775823
L61817000040,ambiguous_team_member,Priya,tier1,23,11,team_member,False,0,0,11,cold_list,mid,"Based in a major metro, Priya has 23 years of experience. Keeps up an active social media presence. Added from an outreach list.",0.039768544009240334,0.005,-0.034768544009240336,0.06814980083142635,0.08813754814094653,0.10255518372609924
L61817000041,ambiguous_team_member,David,tier1,5,4,team_member,False,0,0,5,cold_list,low,David is a licensed agent in a major metro with 5 years in the business. Closed 4 deals in the last 12 months. The team already runs a YouTube channel with a dedicated media hire.,0.04040059466226367,0.042650591120281245,0.0022499964580175724,0.1198645818013094,0.03315792079910115,0.0979243230409266
L61817000042,hidden_gem_sparse_bio,Robert,tier2,4,19,team_member,False,0,0,14,cold_list,high,"Robert has been licensed for 4 years, working in a mid-size metro. Closed 19 deals in the last 12 months. Keeps up an active social media presence. Added from an outreach list.",0.03167530511572761,0.1602624967596871,0.1285871916439595,0.08444166069922768,0.12578366757309137,0.06946088383252025
L61817000043,hidden_gem_sparse_bio,Nina,tier3,16,17,team_member,False,0,0,4,webinar,high,"Nina has been licensed for 16 years, working in a smaller market.",0.024467793779542463,0.10772990755001204,0.08326211377046958,0.13017950335608675,0.09740207592012881,0.08994193240692769
L61817000044,hidden_gem_sparse_bio,Grace,tier2,22,11,solo,False,0,0,12,cold_list,mid,Realtor based in a mid-size metro.,0.031140792121683983,0.18388470159461562,0.15274390947293165,0.08557560693191499,0.10205089540686613,0.07670715576007696
L61817000045,ambiguous_team_member,Carlos,tier3,12,13,team_member,False,0,0,5,webinar,mid,"Carlos has been licensed for 12 years, working in a smaller market. Closed 13 deals in the last 12 months. Works with an in-house videographer on a regular posting schedule.",0.050432870544318664,0.14641287639344566,0.095980005849127,0.14830926709612788,0.09470155369161576,0.1280706960995151
L61817000046,do_not_disturb_media_team,Aisha,tier1,6,16,team_lead,True,13224,23,25,cold_list,high,Aisha is a licensed agent in a major metro with 6 years in the business. Closed 16 deals in the last 12 months. Posts on Instagram regularly.,0.11315708724626518,0.07066527304850435,-0.042491814197760824,0.055827013664755676,0.08432843274218688,0.13085682905575963
L61817000047,persuadable_growth,Marcus,tier1,9,8,team_member,False,0,0,12,webinar,mid,"Based in a major metro, Marcus has 9 years of experience. Keeps up an active social media presence. Signed up after a webinar.",0.02460824422502396,0.14270234103639043,0.11809409681136647,0.08009232584812187,0.08301526062126346,0.06167016109221507
L61817000048,do_not_disturb_media_team,Linda,tier3,20,20,team_lead,True,6233,29,16,cold_list,high,"Linda has been licensed for 20 years, working in a smaller market. Has some in-house support for producing video content.",0.06955919809545884,0.005,-0.06455919809545883,0.12781895921299455,0.07302760714291445,0.11491292946040323
L61817000049,sure_thing_inbound,Grace,tier3,10,9,solo,False,0,0,2,inbound_form,mid,"Grace has been licensed for 10 years, working in a smaller market.",0.2941265812074193,0.31618177219307814,0.022055190985658835,0.1477495163182776,0.06125889752344242,0.04594244356316049
L61817000050,lost_cause_parttime,Priya,tier2,16,2,solo,False,0,0,0,cold_list,low,Priya is a licensed agent in a mid-size metro with 16 years in the business. Sourced from a purchased contact list.,0.02028264838788284,0.036540108436391563,0.016257460048508723,0.08066969401244885,0.08276202831039167,0.0906350911427821
L61817000051,hidden_gem_sparse_bio,Linda,tier1,9,18,team_member,False,0,0,8,webinar,high,"Based in a major metro, Linda has 9 years of experience. Closed 18 deals in the last 12 months. Posts on Instagram regularly.",0.03698801088176098,0.23235231342439477,0.1953643025426338,0.11236596593475477,0.1420596783916177,0.04919768726285424
L61817000052,persuadable_growth,Priya,tier3,14,6,solo,False,0,0,13,cold_list,mid,"Priya has been licensed for 14 years, working in a smaller market. Closed 6 deals in the last 12 months. Sourced from a purchased contact list.",0.03544030367021634,0.14543766672895383,0.1099973630587375,0.10151653430906321,0.0970555027398457,0.07166578031012226
L61817000053,do_not_disturb_media_team,Yolanda,tier3,6,23,team_lead,True,29410,16,20,cold_list,high,Yolanda is a licensed agent in a smaller market with 6 years in the business. Closed 23 deals in the last 12 months. Keeps up an active social media presence. Added from an outreach list.,0.08498513757432628,0.005,-0.07998513757432628,0.08036542384287562,0.08634900318157519,0.13968430594488396
L61817000054,ambiguous_team_member,Emily,tier2,5,7,team_member,False,0,0,2,cold_list,mid,"Based in a mid-size metro, Emily has 5 years of experience. Closed 7 deals in the last 12 months. Sourced from a purchased contact list.",0.04133649528200374,0.13832038069822616,0.09698388541622242,0.11375647510900702,0.083895094998248,0.04170328025912152
L61817000055,lost_cause_parttime,Wei,tier1,19,1,solo,False,0,0,1,cold_list,low,"Wei has been licensed for 19 years, working in a major metro. Closed 1 deals in the last 12 months. Sourced from a purchased contact list. Says they want to grow the business this year.",0.012868918896757474,0.025586423713252454,0.01271750481649498,0.15766166462670334,0.0974614578203502,0.10789498251318853
L61817000056,do_not_disturb_media_team,Fatima,tier3,4,23,team_lead,True,7214,22,22,cold_list,high,"Fatima has been licensed for 4 years, working in a smaller market. Closed 23 deals in the last 12 months. Posts on Instagram regularly.",0.10012460082188715,0.12743382884870058,0.02730922802681343,0.1267122869145621,0.1036412182873359,0.10938694155707165
L61817000057,persuadable_growth,Julia,tier2,16,12,solo,False,0,0,6,webinar,mid,Julia is a licensed agent with 16 years in the business.,0.026563334052856605,0.15717935551192097,0.13061602145906437,0.09253870557897845,0.12332804771689887,0.024316775648235554
L61817000058,persuadable_growth,Aisha,tier3,15,5,solo,False,0,0,16,webinar,mid,Realtor based in a smaller market.,0.03042346625353063,0.21834073605296045,0.18791726979942983,0.08893178605652467,0.09618524512702277,0.060711802349188076
L61817000059,ambiguous_team_member,James,tier2,1,7,team_member,False,0,0,3,cold_list,mid,"Based in a mid-size metro, James has 1 years of experience. Closed 7 deals in the last 12 months. Added from an outreach list.",0.044086592107845206,0.1821802694387776,0.1380936773309324,0.11783981359602719,0.06094660008131704,0.07192392990829884
L61817000060,lost_cause_parttime,Grace,tier3,23,1,solo,False,0,0,0,webinar,low,"Based in a smaller market, Grace has 23 years of experience. Closed 1 deals in the last 12 months. Says they want to grow the business this year.",0.015674458546506825,0.005,-0.010674458546506824,0.1233437517525519,0.09333105479259901,0.10150016502560674
L61817000061,persuadable_growth,Michael,tier3,25,12,solo,False,0,0,6,cold_list,mid,Michael is a licensed agent with 25 years in the business.,0.020334584383037653,0.1896747728480057,0.16934018846496807,0.09942795620778291,0.1092282573410642,0.05410525998106041
L61817000062,lost_cause_parttime,Carlos,tier1,2,0,solo,False,0,0,1,cold_list,low,Carlos is a licensed agent in a major metro with 2 years in the business. Closed 0 deals in the last 12 months.,0.020896740788356974,0.09212594147316393,0.07122920068480695,0.06477602131838589,0.06874461325489556,0.09698307549301087
L61817000063,ambiguous_team_member,Carlos,tier1,22,6,team_member,False,0,0,8,webinar,mid,"Carlos has been licensed for 22 years, working in a major metro. Closed 6 deals in the last 12 months. Shares listings and updates on social media often. Attended one of our marketing webinars.",0.05239738641883721,0.08256306827404564,0.030165681855208425,0.09622877665194546,0.08463807176107066,0.05289670303466604
L61817000064,ambiguous_team_member,Brian,tier3,25,10,team_member,False,0,0,5,cold_list,mid,"Based in a smaller market, Brian has 25 years of experience. Closed 10 deals in the last 12 months. Recently asked about getting started with video for listings. The team already runs a YouTube channel with a dedicated media hire.",0.0460845802661051,0.11542725345220223,0.06934267318609713,0.12216075936369648,0.07954982209772753,0.09224259424211537
L61817000065,lost_cause_parttime,Priya,tier3,9,3,solo,False,0,0,2,cold_list,low,Priya is a licensed agent in a smaller market with 9 years in the business. Closed 3 deals in the last 12 months.,0.02085262011354097,0.03457412195701836,0.01372150184347739,0.10158123076714924,0.09217930681993157,0.08441308391608227
L61817000066,persuadable_growth,Carlos,tier2,4,5,solo,False,0,0,17,cold_list,mid,Carlos is a realtor in a mid-size metro.,0.0176914753277954,0.20272318328297856,0.18503170795518314,0.08941384520903006,0.06907039852246023,0.04986590107439443
L61817000067,hidden_gem_sparse_bio,Yolanda,tier2,4,14,solo,False,0,0,10,webinar,mid,"Yolanda has been licensed for 4 years, working in a mid-size metro. Closed 14 deals in the last 12 months.",0.04234927754566384,0.11147312421880867,0.06912384667314483,0.06733606166210933,0.1186836815607973,0.08189716124282163
L61817000068,ambiguous_team_member,Grace,tier3,22,17,team_member,False,0,0,4,cold_list,high,Realtor based in a smaller market.,0.08146446537812042,0.02773528940831689,-0.05372917596980353,0.09728878145269503,0.1480892545107727,0.08944290037154072
L61817000069,hidden_gem_sparse_bio,Maria,tier1,12,19,team_member,False,0,0,5,cold_list,high,"Maria has been licensed for 12 years, working in a major metro. Closed 19 deals in the last 12 months. Added from an outreach list.",0.02026206790545889,0.19968778286878777,0.17942571496332888,0.08808236531617947,0.15471783869014624,0.08379809912629241
L61817000070,ambiguous_team_member,Michael,tier2,22,16,team_member,False,0,0,3,cold_list,high,"Based in a mid-size metro, Michael has 22 years of experience. Closed 16 deals in the last 12 months. Works with an in-house videographer on a regular posting schedule. Added from an outreach list.",0.06300993013961195,0.1993089504228404,0.13629902028322843,0.09525638861428126,0.08526278726749092,0.06910814246424116
L61817000071,persuadable_growth,Aisha,tier2,13,14,team_member,False,0,0,9,cold_list,mid,Realtor based in a mid-size metro.,0.033763081346854115,0.22882157942092696,0.19505849807407283,0.1078408533747234,0.0833451721060079,0.045619494889758555
L61817000072,hidden_gem_sparse_bio,Wei,tier3,15,13,team_member,False,0,0,14,cold_list,mid,"Wei has been licensed for 15 years, working in a smaller market. Closed 13 deals in the last 12 months. Added from an outreach list.",0.034634000323434395,0.1502304148369771,0.11559641451354272,0.1014035945638023,0.07168978957454522,0.0502024891850547
L61817000073,hidden_gem_sparse_bio,Daniel,tier3,5,10,team_member,False,0,0,16,cold_list,mid,Daniel is a licensed agent with 5 years in the business.,0.02819607863178567,0.18394670078564068,0.15575062215385502,0.11466923250643707,0.12020759177042929,0.10973811825352232
L61817000074,ambiguous_team_member,James,tier3,12,14,team_member,False,0,0,9,cold_list,mid,James is a licensed agent in a smaller market with 12 years in the business. Closed 14 deals in the last 12 months.,0.04093517856883591,0.03998068538768153,-0.0009544931811543839,0.07776076305630106,0.10762444863833084,0.08288433467711873
L61817000075,do_not_disturb_media_team,Linda,tier3,8,25,team_lead,True,3765,13,25,cold_list,high,Linda is a licensed agent with 8 years in the business.,0.09564294172168286,0.1244832064238493,0.02884026470216644,0.11031880050573824,0.07475207879434327,0.151658905487508
L61817000076,lost_cause_parttime,James,tier2,6,0,solo,False,0,0,3,cold_list,low,"Based in a mid-size metro, James has 6 years of experience. Closed 0 deals in the last 12 months. Sourced from a purchased contact list. Says they want to grow the business this year.",0.021287416924366632,0.019833652332712497,-0.0014537645916541352,0.09004694034330232,0.07324540334142358,0.058692318591203274
L61817000077,do_not_disturb_media_team,Brian,tier2,5,29,team_lead,True,9086,12,22,cold_list,high,"Based in a mid-size metro, Brian has 5 years of experience. Closed 29 deals in the last 12 months. Posts on Instagram regularly.",0.08788328190671069,0.04678965201512056,-0.04109362989159013,0.12077780599437156,0.07100123914412773,0.14211925292245386
L61817000078,persuadable_growth,Marcus,tier2,25,10,solo,False,0,0,6,cold_list,mid,"Marcus has been licensed for 25 years, working in a mid-size metro. Closed 10 deals in the last 12 months. Recently asked about getting started with video for listings. Shares listings and updates on social media often.",0.02397533157223459,0.20301905188254146,0.17904372031030688,0.10385541400593876,0.06887198507090812,0.0864536005645819
L61817000079,persuadable_growth,Linda,tier1,12,7,solo,False,0,0,16,webinar,mid,"Based in a major metro, Linda has 12 years of experience. Closed 7 deals in the last 12 months. Shares listings and updates on social media often. Signed up after a webinar.",0.0381358029056708,0.10215882492957619,0.06402302202390539,0.09402372367336982,0.08166801683186063,0.0739776867098464
L61817000080,ambiguous_team_member,Yolanda,tier3,24,15,team_member,False,0,0,7,cold_list,high,"Based in a smaller market, Yolanda has 24 years of experience. Closed 15 deals in the last 12 months. Keeps up an active social media presence.",0.05358917363209733,0.13879515995488295,0.08520598632278562,0.08448882734365452,0.1301407625396047,0.06667763525016634
L61817000081,lost_cause_parttime,Michael,tier1,22,0,solo,False,0,0,3,cold_list,low,"Based in a major metro, Michael has 22 years of experience. Closed 0 deals in the last 12 months.",0.013596050009861332,0.023423943900081942,0.00982789389022061,0.09415850856633605,0.07337901639028455,0.09023782746574491
L61817000082,lost_cause_parttime,Carlos,tier2,3,3,solo,False,0,0,0,cold_list,low,"Based in a mid-size metro, Carlos has 3 years of experience. Added from an outreach list.",0.01931573110187831,0.014133209980407842,-0.005182521121470468,0.07788189193945472,0.06270497371202448,0.04708801247416572
L61817000083,hidden_gem_sparse_bio,Nina,tier3,13,18,solo,False,0,0,13,cold_list,high,"Nina has been licensed for 13 years, working in a smaller market. Closed 18 deals in the last 12 months. Keeps up an active social media presence. Added from an outreach list.",0.02103332694929083,0.10981480134391722,0.08878147439462639,0.0807514918844691,0.11650491556648537,0.09910159773721168
L61817000084,persuadable_growth,Fatima,tier2,2,17,team_member,False,0,0,15,cold_list,high,"Based in a mid-size metro, Fatima has 2 years of experience. Closed 17 deals in the last 12 months. Shares listings and updates on social media often.",0.03156808035764998,0.1390472449759554,0.10747916461830541,0.10004171653141407,0.09094656271829292,0.0930996136223604
L61817000085,ambiguous_team_member,Chen,tier1,24,15,team_member,False,0,0,3,webinar,high,"Based in a major metro, Chen has 24 years of experience.",0.044304181035025834,0.11095719663877782,0.06665301560375197,0.10493021125820161,0.09804680490943508,0.08713691736855714
L61817000086,sure_thing_inbound,David,tier2,4,11,team_member,False,0,0,4,inbound_form,mid,"David has been licensed for 4 years, working in a mid-size metro. Closed 11 deals in the last 12 months. Mentioned wanting help building out a YouTube presence. Filled out our contact form.",0.37352580905804605,0.46500795688223273,0.09148214782418668,0.13465920377582946,0.09469401484722173,0.0814215457570028
L61817000087,lost_cause_parttime,Fatima,tier1,10,2,solo,False,0,0,1,cold_list,low,Fatima is a licensed agent in a major metro with 10 years in the business. Closed 2 deals in the last 12 months.,0.01808141369580401,0.025661696017428664,0.007580282321624655,0.10965869887349346,0.09073273111314113,0.09825480128797702
L61817000088,persuadable_growth,Fatima,tier3,4,11,team_member,False,0,0,10,cold_list,mid,"Based in a smaller market, Fatima has 4 years of experience. Closed 11 deals in the last 12 months. Sourced from a purchased contact list.",0.02336513179723283,0.1930019707194431,0.1696368389222103,0.09229896239226953,0.0900619426663318,0.09237887000341677
L61817000089,persuadable_growth,Tom,tier3,8,8,solo,False,0,0,13,webinar,mid,"Tom has been licensed for 8 years, working in a smaller market. Closed 8 deals in the last 12 months. Attended one of our marketing webinars.",0.03462046877896052,0.15726390610982136,0.12264343733086083,0.08920940955374285,0.06553991248709873,0.04447590247915852
L61817000090,sure_thing_inbound,Emily,tier3,14,4,team_member,True,39,7,6,inbound_form,low,Emily is a licensed agent in a smaller market with 14 years in the business. Keeps up an active social media presence.,0.3371443734852185,0.3575402490412928,0.020395875556074305,0.14678003137122955,0.09213087062904918,0.08064217208803309
L61817000091,persuadable_growth,Kevin,tier1,25,14,team_member,False,0,0,16,cold_list,mid,"Kevin has been licensed for 25 years, working in a major metro. Shares listings and updates on social media often. Sourced from a purchased contact list.",0.02889894378206586,0.06508131571559686,0.036182371933531,0.07287910684564017,0.11325902253922901,0.06117823295846576
L61817000092,do_not_disturb_media_team,Fatima,tier2,10,30,team_lead,True,17281,23,17,webinar,high,Realtor based in a mid-size metro.,0.09265256583980279,0.14046564848058005,0.04781308264077726,0.119615413046277,0.07690467532973812,0.11526659601217126
L61817000093,sure_thing_inbound,James,tier2,17,15,team_member,True,410,2,10,inbound_form,high,James is a realtor in a mid-size metro.,0.24844956588770728,0.274750742151945,0.026301176264237724,0.10340809189796149,0.0760543688790152,0.049425512721117296
