lead_id,true_segment,agent_first_name,metro_tier,years_licensed,deals_last_12m,team_role,has_youtube,yt_subscribers,videos_last_90d,ig_posts_per_month,lead_source,deals_bucket,bio,true_p0,true_p1,true_call_uplift,true_reply_p_tmpl0,true_reply_p_tmpl1,true_reply_p_tmpl2,rule_fit,llm_fit,llm_fallback,llm_status,llm_reason,W,template,pi_W,pi_A,booked_call,positive_reply
L60917002497,do_not_disturb_media_team,Maria,tier3,8,22,team_lead,True,7540,16,24,cold_list,high,"Based in a smaller market, Maria has 8 years of experience. Closed 22 deals in the last 12 months. Shares listings and updates on social media often. Added from an outreach list.",0.07719056230668145,0.1572778425518843,0.08008728024520284,0.09625469722827742,0.07448863754454006,0.14754257227057965,49.54,88.0,False,ok,"High production, active social, room for video",0,2,0.5,0.3333333333333333,0,0
L60917002222,do_not_disturb_media_team,Sofia,tier2,13,21,team_lead,True,23199,13,14,cold_list,high,Sofia is a realtor in a mid-size metro.,0.08833866904722817,0.005088677063868202,-0.08324999198335997,0.11951730816678803,0.10380826284909683,0.12378431063024299,64.199,45.0,False,ok,"Minimal info, mid-size metro realtor",0,0,0.5,0.3333333333333333,0,0
L60917003712,ambiguous_team_member,Linda,tier3,9,6,team_member,False,0,0,8,webinar,mid,Realtor based in a smaller market.,0.0414040106701442,0.12042357563067865,0.07901956496053444,0.09823947167139385,0.10911007940181969,0.07234935632281361,6.0,40.0,False,ok,"Minimal info, smaller market realtor",1,0,0.5,0.3333333333333333,0,0
L60917002815,persuadable_growth,Wei,tier3,14,5,solo,False,0,0,14,webinar,mid,Wei is a licensed agent in a smaller market with 14 years in the business. Closed 5 deals in the last 12 months. Has been thinking about trying short-form video content. Keeps up an active social media presence.,0.02003916454807277,0.22602129146041566,0.20598212691234288,0.12775622330788908,0.07699955237931783,0.059438599387914556,5.0,85.0,False,ok,"Active social, video-curious, established agent",1,2,0.5,0.3333333333333333,0,0
L60917001316,lost_cause_parttime,Maria,tier1,21,2,solo,False,0,0,3,webinar,low,"Maria has been licensed for 21 years, working in a major metro. Signed up after a webinar.",0.022688251466549406,0.005,-0.017688251466549405,0.10458099201651849,0.08963496313281956,0.06595017774702691,2.0,60.0,False,ok,"Experienced, major metro, webinar signup",1,0,0.5,0.3333333333333333,0,0
L60917001901,persuadable_growth,Daniel,tier2,5,16,team_member,False,0,0,16,cold_list,high,"Based in a mid-size metro, Daniel has 5 years of experience. Closed 16 deals in the last 12 months. Sourced from a purchased contact list.",0.033707387179999035,0.1923955498463361,0.15868816266633706,0.10328053235334553,0.09636284288896772,0.06173033657229201,16.0,75.0,False,ok,"Strong production, mid-size metro, growing",0,1,0.5,0.3333333333333333,0,0
L60917004756,hidden_gem_sparse_bio,Priya,tier1,12,12,team_member,False,0,0,10,cold_list,mid,Priya is a licensed agent with 12 years in the business.,0.029170415057617367,0.1436597457484521,0.11448933069083475,0.0825660961695326,0.11889211415036893,0.07726145427290493,12.0,55.0,False,ok,"12 years licensed, no other details",0,2,0.5,0.3333333333333333,0,0
L60917002855,do_not_disturb_media_team,Daniel,tier2,17,33,team_lead,True,20093,14,17,webinar,high,"Based in a mid-size metro, Daniel has 17 years of experience. Closed 33 deals in the last 12 months. The team already runs a YouTube channel with a dedicated media hire. Keeps up an active social media presence. Attended one of our marketing webinars.",0.10361105363689616,0.017087010964469185,-0.08652404267242697,0.15831038585112878,0.03248726645701164,0.14357571814806622,70.093,20.0,False,ok,Already runs YouTube with dedicated media hire,1,2,0.5,0.3333333333333333,0,0
L60917003445,ambiguous_team_member,Grace,tier2,6,3,team_member,False,0,0,9,cold_list,low,Grace is a realtor in a mid-size metro.,0.05135801054135896,0.09937812921347675,0.048020118672117786,0.08519398569138506,0.0820566663180691,0.07128609142924495,3.0,45.0,False,ok,"Minimal info, mid-size metro realtor",1,1,0.5,0.3333333333333333,0,0
L60917004735,ambiguous_team_member,Marcus,tier1,23,4,team_member,False,0,0,5,webinar,low,Realtor based in a major metro.,0.075593509920675,0.07547456036632011,-0.00011894955435488852,0.11404762301625737,0.09934519366414107,0.08382137562212144,4.0,45.0,False,ok,"Minimal info, major metro realtor",0,0,0.5,0.3333333333333333,1,0
L60917001386,do_not_disturb_media_team,Grace,tier3,4,29,team_lead,True,17273,10,21,webinar,high,"Grace has been licensed for 4 years, working in a smaller market. Closed 29 deals in the last 12 months. Keeps up an active social media presence. Attended one of our marketing webinars.",0.08613003431678938,0.010084252677920597,-0.07604578163886878,0.09189023762342904,0.10721002038312893,0.12584085880500215,66.273,88.0,False,ok,"Active, 29 deals, social presence, no YouTube",0,2,0.5,0.3333333333333333,0,1
L60917003774,ambiguous_team_member,Yolanda,tier2,4,12,team_member,False,0,0,2,cold_list,mid,Yolanda is a licensed agent in a mid-size metro with 4 years in the business. Closed 12 deals in the last 12 months. Has some in-house support for producing video content. Sourced from a purchased contact list.,0.05084544021452109,0.06039075784580097,0.00954531763127988,0.1263756917526999,0.09246981235060343,0.09055444853036762,12.0,62.0,False,ok,"Moderate production, some in-house video support",1,1,0.5,0.3333333333333333,0,0
L60917000410,lost_cause_parttime,Linda,tier2,18,3,solo,False,0,0,2,cold_list,low,"Linda has been licensed for 18 years, working in a mid-size metro. Closed 3 deals in the last 12 months. Added from an outreach list.",0.02673583388511109,0.10095120030229549,0.0742153664171844,0.13122001080453857,0.07864426677356265,0.04441370149860921,3.0,25.0,False,ok,"Low production, only 3 deals, little activity",1,2,0.5,0.3333333333333333,1,0
L60917005703,ambiguous_team_member,Tom,tier3,11,13,team_member,False,0,0,8,cold_list,mid,"Based in a smaller market, Tom has 11 years of experience. Closed 13 deals in the last 12 months. Added from an outreach list.",0.051219269574578626,0.06419489385285207,0.012975624278273444,0.11805386692214709,0.11028714391171311,0.09511981459264612,13.0,55.0,False,ok,"Experienced, moderate deals, no digital presence noted",1,0,0.5,0.3333333333333333,0,0
L60917002964,hidden_gem_sparse_bio,Grace,tier3,3,16,team_member,False,0,0,6,webinar,high,"Grace has been licensed for 3 years, working in a smaller market. Closed 16 deals in the last 12 months. Works with an in-house videographer on a regular posting schedule.",0.028237896754887862,0.18249251674882996,0.1542546199939421,0.11901212648416815,0.12317950912968197,0.056620176944608386,16.0,45.0,False,ok,"Already has in-house videographer, regular posting",0,2,0.5,0.3333333333333333,0,0
L60917005910,persuadable_growth,Daniel,tier2,21,17,solo,False,0,0,8,webinar,high,"Daniel has been licensed for 21 years, working in a mid-size metro. Closed 17 deals in the last 12 months.",0.045443335109229724,0.16734034193287703,0.1218970068236473,0.0711499131272756,0.11165035443820379,0.057397912316357894,17.0,60.0,False,ok,"Established, 17 deals, no video presence noted",0,0,0.5,0.3333333333333333,0,0
L60917002136,ambiguous_team_member,Nina,tier2,13,9,team_member,False,0,0,4,cold_list,mid,Realtor based in a mid-size metro.,0.04766205990370455,0.030160395416811273,-0.017501664486893276,0.06978390000855716,0.09361715865779889,0.06577987278715522,9.0,30.0,False,ok,"Bare bio, no activity or production info",1,0,0.5,0.3333333333333333,0,0
L60917001945,persuadable_growth,Kevin,tier3,22,14,team_member,False,0,0,7,cold_list,mid,"Based in a smaller market, Kevin has 22 years of experience. Closed 14 deals in the last 12 months. Mentioned wanting help building out a YouTube presence. Sourced from a purchased contact list.",0.03297864309512927,0.13691721171556975,0.10393856862044049,0.10237686009624382,0.10372342335868982,0.0660108163325552,14.0,85.0,False,ok,"Wants YouTube help, 14 deals, experienced",1,1,0.5,0.3333333333333333,0,0
L60917002489,lost_cause_parttime,Brian,tier3,19,3,solo,False,0,0,2,cold_list,low,"Brian has been licensed for 19 years, working in a smaller market. Closed 3 deals in the last 12 months. Mentioned wanting to take things to the next level this year.",0.022961277672214824,0.012485859888975864,-0.01047541778323896,0.11175866640400743,0.08722134219425712,0.08179320418797377,3.0,40.0,False,ok,"Low production but ambitious, wants next level",1,2,0.5,0.3333333333333333,0,0
L60917001687,hidden_gem_sparse_bio,Grace,tier3,14,12,solo,False,0,0,16,cold_list,mid,"Based in a smaller market, Grace has 14 years of experience. Closed 12 deals in the last 12 months. Posts on Instagram regularly. Added from an outreach list.",0.020598297680482523,0.19694048405193026,0.17634218637144775,0.1176795591801191,0.11093088320594771,0.10845520548094456,12.0,78.0,False,ok,"Active Instagram, 12 deals, room for YouTube",0,1,0.5,0.3333333333333333,0,0
L60917000974,do_not_disturb_media_team,Linda,tier1,17,30,team_lead,True,26564,9,29,cold_list,high,Linda is a licensed agent in a major metro with 17 years in the business. Closed 30 deals in the last 12 months. Has some in-house support for producing video content. Shares listings and updates on social media often.,0.0738540717251925,0.005,-0.06885407172519249,0.09455187611063257,0.11568664718164903,0.11276849996482788,76.564,50.0,False,ok,"High production, already has in-house video support",1,1,0.5,0.3333333333333333,0,0
L60917000538,ambiguous_team_member,Wei,tier3,21,7,team_member,False,0,0,5,cold_list,mid,Wei is a licensed agent in a smaller market with 21 years in the business. Closed 7 deals in the last 12 months. Added from an outreach list.,0.03633173643723667,0.20126861058767678,0.16493687415044012,0.08141018540215456,0.10117141552241155,0.06874688549553001,7.0,35.0,False,ok,"Low production, 7 deals, no digital presence",1,0,0.5,0.3333333333333333,0,0
L60917003769,ambiguous_team_member,Brian,tier2,7,14,team_member,False,0,0,10,cold_list,mid,"Based in a mid-size metro, Brian has 7 years of experience. Closed 14 deals in the last 12 months. Keeps up an active social media presence. Added from an outreach list.",0.038402246967303516,0.11413410383164557,0.07573185686434206,0.0817460341609336,0.10469603858493047,0.08704000083249606,14.0,82.0,False,ok,"Active social, 14 deals, no YouTube noted",0,1,0.5,0.3333333333333333,0,0
L60917002049,do_not_disturb_media_team,Nina,tier1,23,26,team_lead,True,26385,15,15,cold_list,high,"Nina has been licensed for 23 years, working in a major metro. Closed 26 deals in the last 12 months. The team already runs a YouTube channel with a dedicated media hire. Posts on Instagram regularly. Sourced from a purchased contact list.",0.08209709319249556,0.021833185202164554,-0.060263907990331,0.12163070099049808,0.06421569998848198,0.1182219979922782,72.385,20.0,False,ok,Already runs YouTube with dedicated media hire,0,2,0.5,0.3333333333333333,0,0
L60917002794,persuadable_growth,Nina,tier3,19,17,solo,False,0,0,11,cold_list,high,Nina is a licensed agent with 19 years in the business.,0.024631518901829023,0.1548289727182886,0.13019745381645959,0.09199689016643933,0.11758468498642902,0.05967760459001929,17.0,30.0,False,ok,"Bare bio, no production or activity info",1,0,0.5,0.3333333333333333,0,1
L60917001517,do_not_disturb_media_team,Sofia,tier1,5,16,team_lead,True,4339,16,21,webinar,high,Realtor based in a major metro.,0.13312576902354187,0.1007306792254775,-0.032395089798064367,0.1113986029423496,0.07591030767117189,0.13317059285040878,40.339,30.0,False,ok,"Bare bio, no activity or production info",0,0,0.5,0.3333333333333333,1,0
L60917002582,do_not_disturb_media_team,James,tier3,10,39,team_lead,True,3448,14,26,cold_list,high,James is a licensed agent in a smaller market with 10 years in the business. Closed 39 deals in the last 12 months. Works with an in-house videographer on a regular posting schedule. Keeps up an active social media presence. Sourced from a purchased contact list.,0.0895286717891929,0.05982634957995555,-0.029702322209237346,0.09972482549610509,0.07667060337214676,0.11640302068317551,53.448,40.0,False,ok,"Already has in-house videographer, active social",1,2,0.5,0.3333333333333333,0,0
L60917003503,persuadable_growth,Andre,tier3,21,6,solo,False,0,0,9,cold_list,mid,Andre is a licensed agent in a smaller market with 21 years in the business. Closed 6 deals in the last 12 months.,0.017224522877350566,0.15224482839713588,0.1350203055197853,0.11332038874619477,0.05630384006139447,0.07392081609169282,6.0,30.0,False,ok,"Low production, 6 deals, no digital presence",0,1,0.5,0.3333333333333333,0,0
L60917002944,ambiguous_team_member,Julia,tier3,13,10,team_member,False,0,0,6,webinar,mid,Julia is a licensed agent in a smaller market with 13 years in the business. Closed 10 deals in the last 12 months. Works with an in-house videographer on a regular posting schedule. Keeps up an active social media presence. Signed up after a webinar.,0.045030322797179896,0.1219097741307748,0.07687945133359492,0.12943051177100076,0.071386907345791,0.0309238806170979,10.0,45.0,False,ok,"Already has in-house videographer, active social",1,1,0.5,0.3333333333333333,0,0
L60917005558,lost_cause_parttime,Robert,tier1,8,3,solo,False,0,0,2,cold_list,low,"Robert has been licensed for 8 years, working in a major metro.",0.02922879091274317,0.05731901920171783,0.02809022828897466,0.07609816398145386,0.09755716284220341,0.08613413406779578,3.0,45.0,False,ok,Experienced but no production or activity info,1,2,0.5,0.3333333333333333,0,0
L60917005063,persuadable_growth,Grace,tier2,21,14,solo,False,0,0,18,cold_list,mid,"Based in a mid-size metro, Grace has 21 years of experience. Keeps up an active social media presence.",0.028686758651806345,0.11503619590398623,0.08634943725217989,0.05579231155227993,0.10976476203529774,0.05002002773565151,14.0,78.0,False,ok,"Experienced, active social presence, no YouTube mentioned",0,1,0.5,0.3333333333333333,0,0
L60917005124,persuadable_growth,Wei,tier2,25,6,team_member,False,0,0,15,cold_list,mid,Wei is a realtor in a mid-size metro.,0.028257650218797288,0.11703816674549763,0.08878051652670035,0.09196753999019086,0.05068064299260098,0.058460350454448605,6.0,40.0,False,ok,"Minimal info, no activity or presence stated",0,1,0.5,0.3333333333333333,0,0
L60917000466,hidden_gem_sparse_bio,Andre,tier2,1,18,solo,False,0,0,9,cold_list,high,Andre is a licensed agent with 1 years in the business.,0.03343786472215115,0.15331979793843845,0.11988193321628729,0.1013965379183356,0.10552637240560037,0.09866813257832747,18.0,35.0,False,ok,"Only 1 year experience, no other activity",1,2,0.5,0.3333333333333333,0,1
L60917001342,lost_cause_parttime,Chen,tier3,3,0,solo,False,0,0,3,webinar,low,Chen is a licensed agent with 3 years in the business.,0.013478326790649605,0.005,-0.008478326790649606,0.13319771201574418,0.07173151810007844,0.07681839575746546,0.0,45.0,False,ok,"3 years licensed, no presence or momentum stated",0,1,0.5,0.3333333333333333,0,0
L60917001319,persuadable_growth,Nina,tier2,1,13,solo,False,0,0,10,cold_list,mid,Nina is a licensed agent in a mid-size metro with 1 years in the business. Closed 13 deals in the last 12 months. Added from an outreach list.,0.024277260944961864,0.1636260351084867,0.13934877416352484,0.09743133098197991,0.0966186368088458,0.10598923066573898,13.0,60.0,False,ok,"1 year but 13 deals, some momentum",0,0,0.5,0.3333333333333333,0,0
L60917005064,do_not_disturb_media_team,Maria,tier3,14,23,team_lead,True,29377,12,14,cold_list,high,"Based in a smaller market, Maria has 14 years of experience. Closed 23 deals in the last 12 months. Works with an in-house videographer on a regular posting schedule. Keeps up an active social media presence. Added from an outreach list.",0.08451967181160772,0.005,-0.07951967181160771,0.07221886561480058,0.10488464436327771,0.10445373587986012,72.377,30.0,False,ok,Already has in-house videographer and posting schedule,0,1,0.5,0.3333333333333333,0,0
L60917000367,persuadable_growth,Kevin,tier3,2,14,solo,False,0,0,16,cold_list,mid,Kevin is a licensed agent with 2 years in the business.,0.02457984204950764,0.17594195045778796,0.15136210840828032,0.08104109625169988,0.0864492387200586,0.08274522870851198,14.0,40.0,False,ok,"2 years licensed, no other activity stated",0,1,0.5,0.3333333333333333,0,1
L60917002019,ambiguous_team_member,Fatima,tier3,14,3,team_member,False,0,0,5,webinar,low,Fatima is a realtor in a smaller market.,0.07015055565988275,0.1449896130173514,0.07483905735746864,0.08791538072694616,0.08457332095801907,0.044735281215446204,3.0,35.0,False,ok,"Minimal info, no activity or presence stated",0,1,0.5,0.3333333333333333,0,1
L60917004437,persuadable_growth,Nina,tier3,15,8,solo,False,0,0,17,cold_list,mid,Nina is a realtor in a smaller market.,0.031059195796989254,0.2877805176507195,0.25672132185373026,0.10756293909279173,0.05643022432752648,0.10456968897637037,8.0,35.0,False,ok,"Minimal info, no activity or presence stated",1,1,0.5,0.3333333333333333,0,0
L60917000939,ambiguous_team_member,Maria,tier2,14,3,team_member,False,0,0,9,webinar,low,Realtor based in a mid-size metro.,0.08091636395500096,0.15461544159014037,0.07369907763513942,0.09616506244792401,0.07992932194182806,0.06849078108920724,3.0,40.0,False,ok,"Minimal info, no activity or presence stated",1,0,0.5,0.3333333333333333,0,0
L60917000065,lost_cause_parttime,James,tier2,15,3,solo,False,0,0,3,cold_list,low,"James has been licensed for 15 years, working in a mid-size metro. Added from an outreach list.",0.020746036867140754,0.01930877586566617,-0.001437261001474583,0.10935353393622875,0.08845763608151042,0.054509142902760224,3.0,65.0,False,ok,"15 years experience, established, room for video",1,0,0.5,0.3333333333333333,0,0
L60917005234,ambiguous_team_member,Chen,tier2,12,9,team_member,False,0,0,10,cold_list,mid,"Chen has been licensed for 12 years, working in a mid-size metro.",0.06771715816676331,0.10273074694833545,0.03501358878157214,0.0818315140376458,0.10536544651898899,0.08734787534289479,9.0,60.0,False,ok,"12 years experience, established, no YouTube mentioned",1,0,0.5,0.3333333333333333,0,0
L60917000625,persuadable_growth,Linda,tier2,9,6,solo,False,0,0,19,cold_list,mid,"Linda has been licensed for 9 years, working in a mid-size metro. Keeps up an active social media presence.",0.0318742289569654,0.15983852766866388,0.12796429871169848,0.08971144328868993,0.07488415578881537,0.06491132367529284,6.0,72.0,False,ok,"9 years, active social presence, room to grow",1,1,0.5,0.3333333333333333,1,0
L60917001512,persuadable_growth,Daniel,tier2,4,19,solo,False,0,0,17,webinar,high,Daniel is a licensed agent in a mid-size metro with 4 years in the business. Closed 19 deals in the last 12 months. Shares listings and updates on social media often. Attended one of our marketing webinars.,0.019046798377913555,0.20094200416383232,0.18189520578591875,0.08454489496560141,0.12408940010406828,0.0531043038866931,19.0,82.0,False,ok,"4 years, 19 deals, active social, webinar engaged",0,2,0.5,0.3333333333333333,0,0
L60917002174,persuadable_growth,Daniel,tier1,7,18,solo,False,0,0,18,cold_list,high,Realtor based in a major metro.,0.03493888331802034,0.16654401756121096,0.13160513424319062,0.10308665594898014,0.1556439924990125,0.07862621943600655,18.0,45.0,False,ok,"Major metro, minimal info, no activity stated",0,2,0.5,0.3333333333333333,0,0
L60917004904,hidden_gem_sparse_bio,Aisha,tier3,10,11,team_member,False,0,0,16,cold_list,mid,Aisha is a licensed agent with 10 years in the business.,0.026836230365696875,0.26985547461413306,0.24301924424843618,0.09655586348306475,0.09579832997662538,0.08990190225209753,11.0,55.0,False,ok,"10 years experience, no presence or momentum stated",1,1,0.5,0.3333333333333333,0,0
L60917003855,ambiguous_team_member,Maria,tier2,2,6,team_member,False,0,0,10,webinar,mid,Maria is a licensed agent in a mid-size metro with 2 years in the business.,0.09974620113773915,0.16075712203759773,0.06101092089985859,0.10323265135275295,0.08435971115639532,0.08012713648327095,6.0,45.0,False,ok,"2 years, mid-size metro, no activity stated",1,2,0.5,0.3333333333333333,0,1
L60917001746,lost_cause_parttime,Grace,tier2,4,3,solo,False,0,0,1,webinar,low,Grace is a licensed agent in a mid-size metro with 4 years in the business. Closed 3 deals in the last 12 months. Signed up after a webinar. Says they want to grow the business this year.,0.02354595252907308,0.005,-0.018545952529073078,0.07640829346038192,0.10732450075847966,0.06697698627511722,3.0,68.0,False,ok,"4 years, webinar, wants growth, low deals",1,0,0.5,0.3333333333333333,0,1
L60917004318,persuadable_growth,Chen,tier2,6,18,team_member,False,0,0,14,webinar,high,Chen is a realtor in a mid-size metro.,0.028089403964284013,0.16264736942567953,0.13455796546139553,0.10485345098293775,0.1251239123051359,0.03322654116697842,18.0,40.0,False,ok,"Minimal info, no activity or presence stated",1,2,0.5,0.3333333333333333,0,0
L60917002766,hidden_gem_sparse_bio,Maria,tier2,9,19,solo,False,0,0,5,webinar,high,Maria is a licensed agent in a mid-size metro with 9 years in the business. Closed 19 deals in the last 12 months. Signed up after a webinar.,0.03018177808996284,0.17646644228293368,0.14628466419297084,0.1032005453823556,0.09564746666380305,0.09550901757922331,19.0,80.0,False,ok,"9 years, 19 deals, webinar, room for video",1,1,0.5,0.3333333333333333,0,0
L60917000898,hidden_gem_sparse_bio,Wei,tier2,24,15,solo,False,0,0,10,cold_list,high,"Wei has been licensed for 24 years, working in a mid-size metro. Sourced from a purchased contact list.",0.027856347334257712,0.1852544342361524,0.1573980869018947,0.09163491190881205,0.11069646273461495,0.05787519571566947,15.0,45.0,False,ok,Experienced but no activity or digital presence stated,0,2,0.5,0.3333333333333333,0,0
L60917001061,ambiguous_team_member,Linda,tier1,5,15,team_member,False,0,0,3,cold_list,high,Realtor based in a major metro.,0.031177504780568386,0.09923138812754871,0.06805388334698033,0.11022119237655156,0.12355027714628274,0.04662921681602465,15.0,40.0,False,ok,"Only location given, no activity details",1,2,0.5,0.3333333333333333,0,0
L60917005716,do_not_disturb_media_team,David,tier1,7,27,team_lead,True,8984,25,16,cold_list,high,Realtor based in a major metro.,0.11247511490047268,0.09949438239977174,-0.012980732500700948,0.0505201248954562,0.07519816838067442,0.11382997785061388,55.984,40.0,False,ok,"Only location given, no activity details",0,1,0.5,0.3333333333333333,0,0
L60917003622,do_not_disturb_media_team,Chen,tier1,23,30,team_lead,True,5229,16,11,cold_list,high,Chen is a realtor in a major metro.,0.14708276517700544,0.08384092726838586,-0.06324183790861958,0.12314773801787998,0.08674193346166513,0.15370411109134324,55.229,40.0,False,ok,"Only location given, no activity details",1,1,0.5,0.3333333333333333,0,0
L60917004939,ambiguous_team_member,Nina,tier3,9,3,team_member,False,0,0,3,webinar,low,Nina is a licensed agent in a smaller market with 9 years in the business. Closed 3 deals in the last 12 months. Keeps up an active social media presence.,0.07038857294245836,0.11166774751659937,0.041279174574141014,0.10688727396062478,0.11346078599640592,0.10535880249998916,3.0,70.0,False,ok,"Active social presence, low deals, room to grow",1,0,0.5,0.3333333333333333,0,0
L60917002311,persuadable_growth,Maria,tier1,1,11,solo,False,0,0,17,cold_list,mid,"Based in a major metro, Maria has 1 years of experience. Closed 11 deals in the last 12 months. Added from an outreach list.",0.04002818234423924,0.22595737375988856,0.18592919141564931,0.09402471150392289,0.09896727246044368,0.057156006978613644,11.0,65.0,False,ok,"New agent, decent deals, momentum potential",1,1,0.5,0.3333333333333333,1,0
L60917004690,ambiguous_team_member,Tom,tier1,19,8,team_member,False,0,0,3,webinar,mid,"Based in a major metro, Tom has 19 years of experience. Attended one of our marketing webinars.",0.0475297265877775,0.1078846107211858,0.060354884133408296,0.12638645353606892,0.13165820122993455,0.05585843359115812,8.0,60.0,False,ok,"Experienced, engaged via webinar, growth potential",0,1,0.5,0.3333333333333333,0,0
L60917001395,persuadable_growth,David,tier2,21,6,solo,False,0,0,14,cold_list,mid,David is a realtor in a mid-size metro.,0.033435578029725396,0.17845318796273457,0.14501760993300916,0.08896674424244637,0.11875876487049215,0.07080211395237801,6.0,40.0,False,ok,"Only location given, no activity details",0,0,0.5,0.3333333333333333,0,0
L60917005602,hidden_gem_sparse_bio,Emily,tier2,4,13,solo,False,0,0,4,webinar,mid,"Based in a mid-size metro, Emily has 4 years of experience. Closed 13 deals in the last 12 months.",0.02774185001872612,0.1284639987512204,0.10072214873249427,0.10335780717643712,0.08519533660990913,0.08795132534227156,13.0,65.0,False,ok,"Established agent, solid deals, room for video",1,2,0.5,0.3333333333333333,0,0
L60917002395,ambiguous_team_member,Aisha,tier3,11,6,team_member,False,0,0,8,webinar,mid,"Aisha has been licensed for 11 years, working in a smaller market. Closed 6 deals in the last 12 months.",0.030635684739501266,0.1473451231539142,0.11670943841441295,0.08567122405127378,0.0992113406682955,0.09349743070019739,6.0,55.0,False,ok,"Experienced, moderate deals, no digital presence noted",0,1,0.5,0.3333333333333333,0,0
L60917002001,sure_thing_inbound,Brian,tier3,15,15,solo,False,0,0,12,inbound_form,high,Brian is a licensed agent in a smaller market with 15 years in the business. Has been thinking about trying short-form video content. Filled out our contact form.,0.273548456322256,0.33989807523186033,0.06634961890960434,0.1348447017104735,0.11933119250386008,0.06134659482213272,35.0,75.0,False,ok,"Experienced, interested in video, filled contact form",1,1,0.5,0.3333333333333333,0,0
